pmid	gene_set_name	target_id	disease_id	disease_name	score
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000165629	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	47.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000010292	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	47.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000099956	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	47.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000115163	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	47.125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000100209	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	47.125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000198554	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	47.125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000168496	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	46.8333
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000113575	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	46.6667
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000101158	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	46.375
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000176108	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	46.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000196365	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	46.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000127804	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	46.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000159210	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	46.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000058262	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	46
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000151702	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	45.8611
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000140443	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	45.8611
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000103168	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	45.8611
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000244038	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	45.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000142230	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	45.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000099624	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	45.375
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000144021	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	45.375
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000116455	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	45.375
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000121879	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	45.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000179918	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	44.8125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000127580	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	44.8125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000169371	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	44.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000166595	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	44.625
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000100216	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	44.625
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000170248	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	44.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000117222	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	44.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000099800	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	44.5
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000239900	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.9167
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000147457	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.9167
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000213281	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.9167
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000164219	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.9167
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000133316	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.9167
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000148308	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000162236	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000177889	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000181163	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.625
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000105568	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.625
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000115750	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.625
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000172757	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.1875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000114867	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.1875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000120533	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.1875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000257365	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.1875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000136238	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.1875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000113272	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.1875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000114127	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	43.1875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000136888	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.9444
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000196367	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.9444
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000088325	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000198356	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000116459	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000171552	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000006744	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000241370	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.75
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000140564	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.4583
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000108106	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.4583
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000161203	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.2917
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000052749	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.25
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000103502	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42.0938
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000117751	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	42
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000185838	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41.9722
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000101246	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41.875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000067225	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41.875
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000166598	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41.1667
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000134086	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41.1667
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000105401	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41.125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000161981	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41.125
00000000	Project Score: Prioritisation of oncology therapeutic targets using CRISPR-Cas9 screening	ENSG00000065268	http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	41.125
